Sample ID;Sample;Collector Name;Sampling Site;Latitude;Longitude;Latitude Start;Longitude Start;Latitude End;Longitude End;Distance to Reef (Nautic Miles);Replica;Instrument;Sampling date;Sampling Time;Depth (m);Filtration Volume (L);Filtration Duration (min);Filter Porosity (µm);Extraction date;Qubit Concentration (ng/µL);Initial Volume (µL);Final Volume (µL);DNA Volume for 2 ng/µL (µL);H2O Volume (µL) 2;DNA 2 ng/µL Qubit Concentration (ng/µL);PCR date;Primer;Barcod;Purification date;Amplicon Volume (µL) ;AmpureXP Volume (µL);Amplicon Concentration (ng/µL);Sequencing date;Run name;Quantity (ng);Volume for Pool (µL)
Ti_2NM_2;OS_00000045;Julie/Lucie/Yannick;Tiahura;-17.4463992;-149.8862636;-17.448;-149.89;-17.448;-149.898;2;2;Robot;16/06/2023;8h45;5;20;;1.2µm;20/06/2023;3,82;100;50;31,28;18,72;2,04;04/07/2024;MiFish-U;12;10/07/2024;139;250,2;12,9;11/07/2024;Run_3;100;4,5
Ti_2NM_3;OS_00000046;Julie/Lucie/Yannick;Tiahura;-17.4463992;-149.8862636;-17.448;-149.898;-17.452;-149.905;2;3;Robot;16/06/2023;9h09;;;20;1.2µm;20/06/2023;6,88;100;50;17,37;32,63;2,18;04/07/2024;MiFish-U;13;10/07/2024;122;219,6;32,2;11/07/2024;Run_3;100;8,13
Ti_1NM_1;OS_00000047;Julie/Lucie/Yannick;Tiahura;-17.47196;-149.8901731;-17.472;-149.888;-17.473;-149.894;1;1;Robot;16/06/2023;9h44;5;20;;1.2µm;20/06/2023;3,9;100;50;30,64;19,36;2,02;04/07/2024;MiFish-U;14;10/07/2024;144;259,2;41,8;11/07/2024;Run_3;100;9,43
Ti_1NM_2;OS_00000048;Julie/Lucie/Yannick;Tiahura;-17.47196;-149.8901731;-17.473;-149.894;-17.474;-149.899;1;2;Robot;16/06/2023;10h02;5;;20;1.2µm;20/06/2023;4,18;100;50;28,59;21,41;2,1;04/07/2024;MiFish-U;15;10/07/2024;138;248,4;11;11/07/2024;Run_3;100;6,17
Ti_1NM_3;OS_00000049;Julie/Lucie/Yannick;Tiahura;-17.47196;-149.8901731;-17.474;-149.899;-17.477;-149.901;1;3;Robot;16/06/2023;10h23;5;20;;1.2µm;20/06/2023;3,44;100;50;34,74;15,26;2,08;04/07/2024;MiFish-U;16;10/07/2024;139;250,2;19,3;11/07/2024;Run_3;100;5,18
Ti_0,5NM_1;OS_00000050;Julie/Lucie/Yannick;Tiahura;-17.4785679;-149.9050517;-17.477;-149.901;-17.479;-149.907;0,5;1;Robot;16/06/2023;10h53;5;20;;1.2µm;20/06/2023;10,2;100;50;11,71;38,29;1,96;04/07/2024;MiFish-U;17;10/07/2024;140;252;34,2;11/07/2024;Run_3;100;2,92
Ti_0,5NM_2;OS_00000051;Julie/Lucie/Yannick;Tiahura;-17.4785679;-149.9050517;-17.477;-149.902;-17.479;-149.907;0,5;2;Robot;16/06/2023;11h20;5;20;;1.2µm;20/06/2023;7,1;100;50;16,83;33,17;2,12;04/07/2024;MiFish-U;18;10/07/2024;138;248,4;17;11/07/2024;Run_3;100;5,88
Ti_0,5NM_3;OS_00000052;Julie/Lucie/Yannick;Tiahura;-17.4785679;-149.9050517;-17.477;-149.902;-17.479;-149.907;0,5;3;Robot;16/06/2023;;5;20;;1.2µm;20/06/2023;5,62;100;50;21,26;28,74;1,87;04/07/2024;MiFish-U;19;10/07/2024;135;243;51;11/07/2024;Run_3;100;1,96
Ti_0NM_1;OS_00000056;Julie/Lucie/Yannick;Tiahura;-17.4833574;-149.9075086;-17.483;-149.907;-17.483;-149.907;0;1;Robot;16/06/2023;;5;20;;1.2µm;20/06/2023;14,3;100;50;8,36;41,64;2,18;04/07/2024;MiFish-U;20;10/07/2024;140;252;13,3;11/07/2024;Run_3;100;7,52
Ti_0NM_2;OS_00000057;Julie/Lucie/Yannick;Tiahura;-17.4833574;-149.9075086;-17.483;-149.907;-17.483;-149.907;0;2;Robot;16/06/2023;;5;20;;1.2µm;20/06/2023;2,68;100;50;44,59;5,41;1,95;04/07/2024;MiFish-U;21;09/07/2024;134;241,2;20,4;11/07/2024;Run_3;100;4,9
Ti_0NM_3;OS_00000058;Julie/Lucie/Yannick;Tiahura;-17.4833574;-149.9075086;-17.483;-149.907;-17.483;-149.907;0;3;Robot;16/06/2023;;5;20;;1.2µm;20/06/2023;1,87;100;50;50;0;1,39;04/07/2024;MiFish-U;22;09/07/2024;140;252;45;11/07/2024;Run_3;100;2,22
Ma_Blank;OS_00000001;;Maatea;;;;;;;Control;1;Robot;14/06/2023;;;1,5;;;19/06/2023;TOO LOW;100;50;18,47;31,53;TOO LOW ;04/07/2024;MiFish-U;23;09/07/2024;134;241,2;6,26;11/07/2024;Run_3;100;15,97
Ti_Blank;OS_00000040;;Tiahura;;;;;;;Control;3;Robot;16/06/2023;;;1,5;;1.2µm;20/06/2023;0,22;100;50;18,47;31,53;TOO LOW ;;MiFish-U;24;09/07/2024;135;243;75,6;;Run_3;;
