;Species;tax.id;Genus;Family;Order;Class;Phylum;Kingdom;Domain;DemersPelag
188;Euleptorhamphus viridis;293913;Euleptorhamphus;Hemiramphidae;Beloniformes;Actinopteri;Chordata;Metazoa;Eukaryota;pelagic
189;Eviota afelei;166747;Eviota;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
190;Eviota albolineata;1156107;Eviota;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
191;Eviota hinanoae;2589305;Eviota;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
192;Evistias acutirostris;1043192;Evistias;Pentacerotidae;Pempheriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
193;Exallias brevis;1147085;Exallias;Blenniidae;Blenniiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
194;Fistularia commersonii;215343;Fistularia;Fistulariidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
195;Forcipiger flavissimus;109909;Forcipiger;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
196;Forcipiger longirostris;466130;Forcipiger;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
197;Fowleria isostigma;316378;Fowleria;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
198;Fusigobius neophytus;151725;Fusigobius;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
199;Galeocerdo cuvier;7819;Galeocerdo;Carcharhinidae;Carcharhiniformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;both
200;Genicanthus bellus;1156109;Genicanthus;Pomacanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
201;Genicanthus watanabei;586822;Genicanthus;Pomacanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
202;Gnathanodon speciosus;326724;Gnathanodon;Carangidae;Carangiformes;Actinopteri;Chordata;Metazoa;Eukaryota;both
203;Gnathodentex aureolineatus;490323;Gnathodentex;Lethrinidae;Spariformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
204;Gnatholepis anjerensis;194857;Gnatholepis;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
